Lat,Long,ArcV,ArcL,DAZ,Crescent Width,MA,JD,Ele,Visibility,Lag_minutes
-7.97,111.5,-17.54,18.06,4.4,48.65,27.85,2458756.43,141.76,1,74.0
-7.57,110.83,-17.59,18.09,4.3,48.81,27.91,2458756.43,89.91,1,74.0
33.49,6.8,-12.24,12.31,1.29,20.22,-24.59,2459345.27,62.3,0,-65.0
32.67,51.67,-10.43,10.43,0.04,14.58,18.17,2456482.56,1575.56,1,56.0
48.14,11.58,-10.57,11.15,3.57,16.64,20.04,2456482.64,518.06,1,79.0
-7.57,110.83,-6.51,9.14,6.44,11.21,15.58,2456482.45,89.91,1,28.0
48.14,11.58,-4.34,6.52,4.87,6.47,5.98,2455832.21,518.06,1,-27.0
2.45,101.86,-4.55,6.35,4.43,5.44,-6.59,2454443.96,24.98,0,-22.0
2.45,101.86,-4.53,6.05,4.01,4.92,-5.89,2454797.96,24.98,0,-20.0
59.91,10.75,-4.07,13.71,13.11,28.07,21.76,2455478.19,4.07,0,-37.0
59.91,10.75,-4.06,15.31,14.78,33.62,27.11,2456158.29,4.07,0,-34.0
60.04,11.32,-3.57,7.17,6.23,7.56,10.33,2455507.13,171.31,0,-39.0
53.96,-1.08,-3.77,10.85,10.18,17.68,16.0,2455803.3,18.16,0,-26.0
48.14,11.58,-2.88,10.29,9.89,15.91,15.06,2455803.26,518.06,1,-18.0
34.88,-1.32,-2.52,6.56,6.07,6.35,-6.86,2458253.71,795.03,0,13.0
8.5,4.55,-2.8,4.08,2.97,2.33,5.87,2457781.75,317.58,0,12.0
59.89,10.53,-3.41,10.63,10.08,17.16,16.29,2455419.31,6.82,0,-29.0
59.91,10.75,-3.42,10.62,10.06,17.13,16.28,2455419.31,4.07,0,-29.0
59.91,10.75,-3.26,14.84,14.49,32.42,25.19,2455774.33,4.07,0,-29.0
53.64,-2.58,-2.87,11.68,11.33,18.58,22.15,2456512.33,203.3,0,-20.0
48.14,11.58,-2.42,7.46,7.07,7.49,12.12,2456482.31,518.06,0,-17.0
50.81,8.78,-2.82,4.32,3.28,2.81,4.55,2456216.19,185.95,0,-19.0
23.59,58.38,-3.35,5.59,4.48,4.76,2.84,2455832.08,9.15,0,-15.0
50.81,8.78,-2.74,7.62,7.12,7.81,12.47,2456482.32,185.95,0,-21.0
53.96,-1.08,-3.08,10.09,9.62,15.0,16.13,2456187.26,18.16,0,-22.0
48.14,11.58,-2.26,9.62,9.36,13.63,15.31,2456187.23,518.06,1,-14.0
8.5,4.55,-2.39,5.45,4.91,4.25,2.1,2456157.25,317.58,0,-10.0
53.41,-2.99,-2.97,7.99,7.43,8.59,13.44,2456482.36,14.48,0,-24.0
48.14,11.58,-2.25,7.37,7.03,7.35,11.27,2456836.31,518.06,1,-16.0
53.58,-2.43,-2.68,9.33,8.94,12.14,16.09,2456128.35,102.93,0,-21.0
53.96,-1.08,-2.92,11.62,11.26,18.42,22.02,2456512.33,18.16,0,-21.0
53.96,-1.08,-2.74,9.3,8.89,12.07,16.0,2456128.35,18.16,0,-22.0
26.33,43.97,-1.99,3.18,2.48,1.36,0.07,2456452.17,602.36,0,-10.0
50.81,8.78,-2.37,11.25,11.01,17.25,21.22,2456512.3,185.95,0,-15.0
2.45,101.86,-2.64,5.55,4.89,4.36,-2.84,2454089.97,24.98,0,-13.0
48.14,11.58,-1.82,11.22,11.09,17.04,-22.08,2459315.69,518.06,1,11.0
53.96,-1.08,-2.6,7.55,7.1,8.39,11.51,2455507.18,18.16,0,-23.0
2.45,101.86,-2.76,3.69,2.45,2.04,-1.03,2456215.96,24.98,0,-11.0
53.96,-1.08,-2.55,14.09,13.86,29.61,22.68,2455478.23,18.16,0,-20.0
48.14,11.58,-1.88,11.09,10.94,16.77,20.93,2456512.28,518.06,1,-12.0
48.65,9.45,-1.96,8.77,8.55,10.72,14.95,2456128.31,313.88,0,-14.0
50.81,8.78,-2.02,10.61,10.43,15.07,20.67,2456866.31,185.95,0,-14.0
48.14,11.58,-1.54,10.45,10.34,14.6,20.36,2456866.29,518.06,1,-10.0
53.96,-1.08,-2.31,15.41,15.25,34.11,27.56,2456158.31,18.16,0,-16.0
39.92,32.85,-1.1,5.4,5.29,4.2,-7.79,2458637.59,863.47,0,6.0
53.96,-1.08,-2.16,10.7,10.49,17.41,16.64,2455419.32,18.16,0,-16.0
53.96,-1.08,-2.08,3.27,2.52,1.46,3.69,2455182.16,18.16,0,-21.0
2.45,101.86,-1.97,2.05,0.57,0.58,-1.5,2454354.97,24.98,0,-8.0
